;gene;p_val;avg_log2FC;pct.1;pct.2;p_val_adj;cell;cancer
1;HSP90AA1;3.78E-76;2.078638948;0.974;0.775;8.66E-72;B;Lung
2;HSPA1A;1.00E-59;2.992707451;0.912;0.245;2.29E-55;B;Lung
3;HSP90AB1;1.18E-55;1.818516375;0.956;0.745;2.71E-51;B;Lung
4;HSPE1;7.89E-47;2.086786102;0.928;0.539;1.81E-42;B;Lung
5;HSPH1;9.16E-45;2.266715958;0.877;0.304;2.10E-40;B;Lung
6;HSPA8;1.02E-38;1.63100558;0.928;0.686;2.32E-34;B;Lung
7;HSPD1;6.36E-36;2.060993738;0.88;0.431;1.46E-31;B;Lung
8;DNAJA1;1.64E-34;1.618291321;0.911;0.529;3.75E-30;B;Lung
9;DNAJB1;4.20E-33;1.80929349;0.881;0.412;9.61E-29;B;Lung
10;FABP4;5.70E-31;-1.27386697;0.005;0.275;1.30E-26;B;Lung
11;IGHA1;1.21E-30;3.330321753;0.71;0.137;2.78E-26;B;Lung
12;SFTPC;2.26E-29;-1.176547565;0.02;0.363;5.18E-25;B;Lung
13;HSPA1B;3.15E-27;1.631301955;0.763;0.235;7.21E-23;B;Lung
14;MRPL18;1.49E-22;1.671372247;0.699;0.225;3.41E-18;B;Lung
15;CD79A;3.88E-22;-1.054062188;0.837;0.931;8.87E-18;B;Lung
16;TCL1A;6.38E-22;-1.991448994;0.06;0.363;1.46E-17;B;Lung
17;CACYBP;9.00E-19;1.357239524;0.728;0.314;2.06E-14;B;Lung
18;RGS1;2.03E-18;1.986549574;0.64;0.196;4.64E-14;B;Lung
19;FKBP4;2.51E-18;1.465037045;0.628;0.196;5.74E-14;B;Lung
20;DNAJB6;6.80E-18;1.40148352;0.772;0.431;1.56E-13;B;Lung
21;ANKRD37;1.13E-17;1.475236568;0.595;0.167;2.58E-13;B;Lung
22;CHORDC1;4.53E-17;1.518008971;0.582;0.176;1.04E-12;B;Lung
23;IGHM;5.48E-17;-0.989704144;0.624;0.775;1.25E-12;B;Lung
24;CD52;8.85E-17;-0.83456935;0.847;0.922;2.03E-12;B;Lung
25;AHSA1;1.13E-16;1.156164686;0.669;0.255;2.58E-12;B;Lung
26;DEDD2;1.18E-16;1.2168909;0.637;0.216;2.69E-12;B;Lung
27;STIP1;3.52E-16;1.119318148;0.509;0.108;8.05E-12;B;Lung
28;TUBB4B;5.06E-16;1.162607672;0.715;0.324;1.16E-11;B;Lung
29;ZFAND2A;1.81E-15;1.121875487;0.511;0.118;4.15E-11;B;Lung
30;IGHD;5.62E-15;-1.501852864;0.155;0.422;1.29E-10;B;Lung
31;HSPB1;7.47E-15;1.87451738;0.658;0.284;1.71E-10;B;Lung
32;BAG3;1.64E-14;1.133722912;0.355;0.029;3.75E-10;B;Lung
33;UBB;1.71E-14;1.146745298;0.935;0.853;3.92E-10;B;Lung
34;SKIL;1.84E-14;0.908959511;0.494;0.118;4.22E-10;B;Lung
35;SELL;2.61E-14;-1.154792592;0.338;0.471;5.97E-10;B;Lung
36;C1QA;4.89E-14;-1.004626;0.113;0.294;1.12E-09;B;Lung
37;SQSTM1;5.19E-14;1.266793318;0.783;0.471;1.19E-09;B;Lung
38;DNAJB4;1.45E-13;1.050008791;0.425;0.078;3.32E-09;B;Lung
39;CD79B;3.25E-13;-1.114111906;0.309;0.51;7.44E-09;B;Lung
40;CKS2;3.36E-13;0.751355833;0.708;0.333;7.68E-09;B;Lung
41;CCR7;5.22E-13;1.488297709;0.761;0.529;1.19E-08;B;Lung
42;SOD1;7.24E-13;0.926135868;0.781;0.471;1.66E-08;B;Lung
43;REL;7.31E-13;1.036791059;0.871;0.667;1.67E-08;B;Lung
44;CCT4;1.65E-12;0.811154437;0.603;0.235;3.79E-08;B;Lung
45;EIF1;2.41E-12;0.503255406;0.988;0.922;5.52E-08;B;Lung
46;PTGES3;3.88E-12;1.021249794;0.749;0.441;8.89E-08;B;Lung
47;FAM65B;4.03E-12;-0.89803529;0.175;0.373;9.23E-08;B;Lung
48;PMAIP1;9.79E-12;0.855132752;0.704;0.353;2.24E-07;B;Lung
49;SESN1;1.05E-11;-0.924675725;0.058;0.275;2.42E-07;B;Lung
50;CD83;2.28E-11;0.961539972;0.861;0.706;5.22E-07;B;Lung
51;IGLC2;5.17E-11;0.814180425;0.557;0.294;1.18E-06;B;Lung
52;C1QB;5.39E-11;-1.054624976;0.113;0.294;1.23E-06;B;Lung
53;TCP1;5.92E-11;0.807119315;0.628;0.284;1.36E-06;B;Lung
54;PLPP5;6.02E-11;-0.917407791;0.083;0.275;1.38E-06;B;Lung
55;NR4A1;7.17E-11;0.85706065;0.688;0.353;1.64E-06;B;Lung
56;LINC00926;1.18E-10;-0.973016963;0.371;0.578;2.69E-06;B;Lung
57;FAM129C;1.71E-10;-0.844784441;0.091;0.294;3.91E-06;B;Lung
58;SLBP;1.77E-10;1.014318086;0.519;0.196;4.06E-06;B;Lung
59;CD74;1.80E-10;-0.532331361;0.997;0.99;4.12E-06;B;Lung
60;HLA.DMB;2.18E-10;-0.787658492;0.466;0.657;4.99E-06;B;Lung
61;CD37;2.26E-10;-0.59443736;0.919;0.941;5.18E-06;B;Lung
62;YBX3;2.54E-10;-1.052555242;0.124;0.353;5.83E-06;B;Lung
63;APOC1;2.85E-10;-0.854321269;0.082;0.225;6.53E-06;B;Lung
64;DUSP2;3.16E-10;1.008499828;0.677;0.353;7.24E-06;B;Lung
65;GPBP1;3.50E-10;0.857187216;0.748;0.471;8.01E-06;B;Lung
66;ELL2;3.53E-10;0.763258834;0.393;0.098;8.08E-06;B;Lung
67;EIF5;5.96E-10;0.786940708;0.82;0.578;1.36E-05;B;Lung
68;JUND;5.99E-10;0.706515376;0.621;0.294;1.37E-05;B;Lung
69;PLAC8;6.24E-10;-0.989279613;0.264;0.451;1.43E-05;B;Lung
70;DUSP10;6.31E-10;0.856943243;0.31;0.049;1.44E-05;B;Lung
71;SNX2;6.41E-10;-0.847543369;0.385;0.559;1.47E-05;B;Lung
72;PRDX1;7.15E-10;0.927411619;0.752;0.5;1.64E-05;B;Lung
73;MTHFD2;7.71E-10;0.471913816;0.244;0.029;1.76E-05;B;Lung
74;H2AFZ;7.87E-10;0.955324472;0.738;0.471;1.80E-05;B;Lung
75;TMSB10;8.17E-10;-0.789312115;0.948;0.951;1.87E-05;B;Lung
76;TPD52;8.60E-10;-0.413983947;0.292;0.255;1.97E-05;B;Lung
77;VAMP2;1.23E-09;-0.695801181;0.434;0.598;2.81E-05;B;Lung
78;CASP8;1.26E-09;-0.845763176;0.098;0.216;2.88E-05;B;Lung
79;LRIF1;1.43E-09;0.879945765;0.301;0.049;3.28E-05;B;Lung
80;PIM3;1.63E-09;0.989801713;0.538;0.225;3.73E-05;B;Lung
81;SMIM14;1.86E-09;0.991056197;0.579;0.275;4.26E-05;B;Lung
82;HSPA6;1.87E-09;1.301926196;0.35;0.078;4.29E-05;B;Lung
83;BCL2A1;2.27E-09;1.047127275;0.525;0.225;5.19E-05;B;Lung
84;EGR1;2.40E-09;0.788031536;0.331;0.069;5.50E-05;B;Lung
85;H3F3B;2.48E-09;0.615174895;0.964;0.922;5.68E-05;B;Lung
86;LMNA;3.40E-09;1.116567358;0.416;0.127;7.79E-05;B;Lung
87;IGHG3;3.41E-09;1.838948265;0.237;0.02;7.82E-05;B;Lung
88;SAMSN1;3.77E-09;0.913698029;0.533;0.225;8.64E-05;B;Lung
89;UBC;3.85E-09;1.095015399;0.919;0.814;8.81E-05;B;Lung
90;ARHGDIB;3.97E-09;-0.654395072;0.699;0.775;9.08E-05;B;Lung
91;ATP1B3;4.79E-09;1.096506982;0.528;0.245;0.000109614;B;Lung
92;JUN;5.20E-09;1.124124113;0.805;0.618;0.000119096;B;Lung
93;SRGN;7.54E-09;0.771924616;0.728;0.461;0.000172552;B;Lung
94;MRPS6;9.37E-09;0.881459201;0.458;0.167;0.000214439;B;Lung
95;RGS2;1.04E-08;0.645978629;0.675;0.373;0.000237294;B;Lung
96;MARCO;1.42E-08;-0.44201313;0.009;0.118;0.000325532;B;Lung
97;HLA.DOB;1.50E-08;-0.80722321;0.209;0.373;0.000343208;B;Lung
98;SCGB3A2;1.68E-08;-0.741866386;0.02;0.127;0.000384583;B;Lung
99;S100A4;1.96E-08;-0.812392924;0.341;0.431;0.000447691;B;Lung
100;LTB;1.99E-08;-0.527901637;0.741;0.696;0.00045565;B;Lung
101;UPF2;2.04E-08;0.826077877;0.414;0.137;0.000465919;B;Lung
102;ATP1A1;2.13E-08;0.62101906;0.404;0.137;0.000488432;B;Lung
103;RPL13;2.34E-08;-0.262014573;0.996;0.971;0.000536164;B;Lung
104;IER5;2.42E-08;0.925663938;0.658;0.392;0.00055364;B;Lung
105;NCKAP1L;2.49E-08;-0.770977822;0.128;0.304;0.000570512;B;Lung
106;PTPN6;2.92E-08;-0.607975036;0.174;0.255;0.000668115;B;Lung
107;EIF4A3;4.96E-08;0.871581991;0.599;0.314;0.001136405;B;Lung
108;TXNIP;5.11E-08;-0.823404279;0.76;0.824;0.001169537;B;Lung
109;KLF2;5.28E-08;-0.872774127;0.544;0.696;0.001208039;B;Lung
110;CREM;5.51E-08;0.715026909;0.624;0.333;0.001260717;B;Lung
111;MB21D1;8.11E-08;0.573074894;0.242;0.039;0.001856161;B;Lung
112;GMFG;1.01E-07;-0.564045048;0.363;0.422;0.002310151;B;Lung
113;RPL8;1.21E-07;-0.315268298;0.987;0.961;0.002774817;B;Lung
114;RALGAPA1;1.30E-07;0.670173516;0.338;0.098;0.002983638;B;Lung
115;YPEL5;1.35E-07;0.634467488;0.73;0.461;0.003101566;B;Lung
116;HN1;1.84E-07;0.575349654;0.471;0.206;0.004221521;B;Lung
117;DYNLL1;1.88E-07;0.642760897;0.785;0.559;0.004298406;B;Lung
118;GLA;1.90E-07;0.821733083;0.364;0.118;0.00434712;B;Lung
119;HSPA4;2.28E-07;0.714991725;0.548;0.275;0.005211069;B;Lung
120;RNASE6;2.29E-07;-0.75642149;0.164;0.324;0.005250411;B;Lung
121;RPL18A;2.41E-07;-0.279630748;0.994;0.961;0.005526406;B;Lung
122;S100A6;2.52E-07;-0.713881549;0.506;0.608;0.00575934;B;Lung
123;KDM6B;2.59E-07;0.713159623;0.589;0.314;0.00592223;B;Lung
124;GNL3;2.64E-07;0.768641673;0.401;0.147;0.006051662;B;Lung
125;BASP1;2.85E-07;0.799197565;0.442;0.186;0.006516791;B;Lung
126;NASP;3.08E-07;0.469558952;0.486;0.225;0.007041406;B;Lung
127;GRK6;3.27E-07;-0.482819689;0.134;0.196;0.007482449;B;Lung
128;BCAS2;3.64E-07;0.893868887;0.58;0.333;0.008342578;B;Lung
129;TRAF3IP3;3.78E-07;-0.732426811;0.175;0.294;0.008645839;B;Lung
130;SH3BP5;3.97E-07;-0.621588065;0.247;0.373;0.00908502;B;Lung
131;FCER1G;4.70E-07;-0.545035169;0.091;0.137;0.010771427;B;Lung
132;DR1;4.76E-07;-0.634768201;0.092;0.176;0.010889087;B;Lung
133;FBP1;4.95E-07;-0.563009749;0.025;0.137;0.011322644;B;Lung
134;CCDC107;4.99E-07;0.727554103;0.408;0.157;0.011416653;B;Lung
135;CYSTM1;5.22E-07;0.648546389;0.251;0.049;0.011951602;B;Lung
136;NCL;5.39E-07;0.741427048;0.694;0.451;0.012333357;B;Lung
137;IFRD1;5.44E-07;0.633501334;0.443;0.186;0.012449845;B;Lung
138;SAT1;5.55E-07;0.554904719;0.902;0.716;0.012711341;B;Lung
139;LGALS1;5.68E-07;0.680089014;0.554;0.284;0.012993047;B;Lung
140;DUSP4;5.76E-07;0.813867041;0.248;0.049;0.013197321;B;Lung
141;RHOG;5.97E-07;0.755841632;0.462;0.206;0.013657825;B;Lung
142;NAMPT;6.06E-07;0.829900106;0.45;0.196;0.013885262;B;Lung
143;SOCS3;6.09E-07;0.81914354;0.43;0.176;0.013947646;B;Lung
144;RPS29;6.33E-07;0.3203196;0.995;0.99;0.014483054;B;Lung
145;AC090498.1;6.74E-07;0.527728657;0.8;0.559;0.015422922;B;Lung
146;DNAJA4;6.76E-07;0.544757093;0.24;0.049;0.015466187;B;Lung
147;RPS26;7.25E-07;-0.261825571;0.841;0.716;0.016596522;B;Lung
148;HSPA5;7.59E-07;0.700930384;0.518;0.255;0.017376237;B;Lung
149;MT.ND4;7.83E-07;-0.38532343;0.987;0.98;0.017919156;B;Lung
150;RCSD1;1.14E-06;-0.582306346;0.473;0.5;0.026150421;B;Lung
151;TYMP;1.17E-06;0.544760881;0.546;0.284;0.026692266;B;Lung
152;HLA.DPA1;1.47E-06;-0.376053667;0.921;0.951;0.033693981;B;Lung
153;LPIN1;1.52E-06;0.522066899;0.346;0.118;0.034815421;B;Lung
154;TRAF4;1.59E-06;0.635222062;0.332;0.108;0.036380044;B;Lung
155;CDKN1A;1.60E-06;0.668524265;0.457;0.206;0.036518627;B;Lung
156;POLR2J3;1.62E-06;-0.773836953;0.288;0.422;0.036998409;B;Lung
157;SEMA7A;1.93E-06;0.47784055;0.21;0.039;0.044180086;B;Lung
158;ZNF165;1.99E-06;0.338148484;0.199;0.039;0.045663382;B;Lung
159;PCF11;2.02E-06;-0.520400919;0.214;0.304;0.046145037;B;Lung
160;RPS17;2.14E-06;-0.264248815;0.991;0.961;0.048905003;B;Lung
161;HSP90AA1;0;1.144757345;0.985;0.933;0;CD4T;Lung
162;HSPA1A;0;1.154876345;0.934;0.535;0;CD4T;Lung
163;IGHA1;0;1.459101345;0.478;0.013;0;CD4T;Lung
164;IGKC;0;1.978433344;0.549;0.025;0;CD4T;Lung
165;FABP4;9.43E-308;-1.382312896;0.009;0.296;2.16E-303;CD4T;Lung
166;SFTPC;3.40E-236;-1.071987048;0.035;0.327;7.78E-232;CD4T;Lung
167;HSPA1B;7.06E-230;0.915796204;0.821;0.427;1.62E-225;CD4T;Lung
168;DNAJB1;3.97E-222;1.091729649;0.904;0.701;9.08E-218;CD4T;Lung
169;IGLC2;2.33E-213;1.035419994;0.285;0.008;5.33E-209;CD4T;Lung
170;HSPA8;1.12E-210;0.874814294;0.952;0.895;2.57E-206;CD4T;Lung
171;HSP90AB1;3.13E-208;0.718031004;0.946;0.836;7.16E-204;CD4T;Lung
172;HSPE1;5.77E-201;0.869561357;0.915;0.706;1.32E-196;CD4T;Lung
173;HSPH1;1.57E-192;0.851744945;0.841;0.509;3.59E-188;CD4T;Lung
174;DNAJA1;1.08E-172;0.849150131;0.877;0.737;2.47E-168;CD4T;Lung
175;EGR1;3.21E-168;1.270157997;0.317;0.044;7.34E-164;CD4T;Lung
176;RPS4Y1;5.90E-154;-1.062982367;0.171;0.483;1.35E-149;CD4T;Lung
177;APOC1;3.61E-152;-1.083869825;0.133;0.326;8.26E-148;CD4T;Lung
178;S100A6;5.12E-152;-0.800223971;0.767;0.915;1.17E-147;CD4T;Lung
179;UBB;3.50E-151;0.731113107;0.944;0.903;8.00E-147;CD4T;Lung
180;HSPD1;6.40E-147;0.795977322;0.855;0.617;1.47E-142;CD4T;Lung
181;S100A4;1.04E-129;-0.738467184;0.779;0.925;2.37E-125;CD4T;Lung
182;JUN;1.10E-126;1.039816531;0.832;0.644;2.52E-122;CD4T;Lung
183;RGS1;1.20E-126;1.239717287;0.794;0.548;2.74E-122;CD4T;Lung
184;NR4A1;1.20E-126;1.076181947;0.488;0.2;2.76E-122;CD4T;Lung
185;S100A10;1.49E-126;-0.745708288;0.708;0.865;3.40E-122;CD4T;Lung
186;C1QA;5.88E-125;-1.033876003;0.099;0.296;1.35E-120;CD4T;Lung
187;HSPB1;3.97E-123;0.860931998;0.73;0.451;9.08E-119;CD4T;Lung
188;ANXA1;3.21E-122;-0.751863728;0.606;0.846;7.36E-118;CD4T;Lung
189;VIM;5.35E-122;-0.749677015;0.858;0.94;1.23E-117;CD4T;Lung
190;ANXA2;3.16E-118;-0.890298976;0.314;0.529;7.22E-114;CD4T;Lung
191;CD52;2.13E-112;-0.629285565;0.765;0.905;4.89E-108;CD4T;Lung
192;APOE;5.71E-106;-0.851905578;0.148;0.285;1.31E-101;CD4T;Lung
193;EMP3;1.66E-102;-0.792338825;0.38;0.582;3.80E-98;CD4T;Lung
194;MYL12A;4.79E-101;-0.594852238;0.761;0.876;1.10E-96;CD4T;Lung
195;CACYBP;1.85E-94;0.606014087;0.743;0.497;4.24E-90;CD4T;Lung
196;IGLC3;7.17E-92;0.504915008;0.118;0;1.64E-87;CD4T;Lung
197;IGHM;7.40E-88;0.582630696;0.131;0.005;1.69E-83;CD4T;Lung
198;C1QB;5.78E-87;-0.753406492;0.097;0.24;1.32E-82;CD4T;Lung
199;S100A11;5.79E-86;-0.697072501;0.601;0.767;1.33E-81;CD4T;Lung
200;ANKRD28;1.96E-85;-0.976493442;0.152;0.338;4.50E-81;CD4T;Lung
201;DEDD2;5.46E-85;0.583935719;0.577;0.323;1.25E-80;CD4T;Lung
202;WDR74;5.83E-82;0.835977419;0.333;0.128;1.33E-77;CD4T;Lung
203;TNFRSF4;2.59E-81;1.301764225;0.305;0.11;5.93E-77;CD4T;Lung
204;PLP2;5.36E-80;-0.638962938;0.463;0.627;1.23E-75;CD4T;Lung
205;CXCL13;2.17E-77;2.634215672;0.108;0.002;4.97E-73;CD4T;Lung
206;BTG1;3.96E-77;0.491002868;0.991;0.975;9.08E-73;CD4T;Lung
207;IGHG1;6.31E-76;0.441085655;0.102;0.001;1.44E-71;CD4T;Lung
208;DNAJB4;3.67E-75;0.740630524;0.348;0.14;8.40E-71;CD4T;Lung
209;LGALS1;4.26E-75;-0.844441859;0.397;0.565;9.75E-71;CD4T;Lung
210;ATP2B1;2.46E-74;-0.749183422;0.205;0.376;5.62E-70;CD4T;Lung
211;SCGB3A1;1.18E-72;0.730306741;0.424;0.21;2.70E-68;CD4T;Lung
212;CHORDC1;2.13E-71;0.634621246;0.494;0.267;4.88E-67;CD4T;Lung
213;CD99;2.29E-71;-0.591969736;0.476;0.633;5.24E-67;CD4T;Lung
214;SQSTM1;8.17E-70;0.676261222;0.679;0.487;1.87E-65;CD4T;Lung
215;YPEL5;9.56E-68;0.70713515;0.652;0.47;2.19E-63;CD4T;Lung
216;REL;1.27E-67;0.757419005;0.662;0.489;2.90E-63;CD4T;Lung
217;TIGIT;3.88E-65;0.96414992;0.265;0.098;8.87E-61;CD4T;Lung
218;AHSA1;1.02E-64;0.449123985;0.543;0.324;2.33E-60;CD4T;Lung
219;MT.ND2;2.90E-64;-0.441217643;0.98;0.994;6.63E-60;CD4T;Lung
220;TYROBP;2.30E-63;-0.776189277;0.121;0.238;5.27E-59;CD4T;Lung
221;RGS2;1.14E-62;0.859995784;0.607;0.421;2.62E-58;CD4T;Lung
222;MARCO;1.83E-61;-0.426855312;0.019;0.107;4.18E-57;CD4T;Lung
223;CCL4;8.10E-61;-1.045305751;0.201;0.363;1.85E-56;CD4T;Lung
224;CD7;1.14E-60;0.805578397;0.548;0.353;2.62E-56;CD4T;Lung
225;STK17A;6.07E-60;0.555634523;0.616;0.411;1.39E-55;CD4T;Lung
226;CFD;1.04E-59;-0.50966213;0.017;0.105;2.39E-55;CD4T;Lung
227;SERPINA1;1.69E-59;-0.490607878;0.035;0.137;3.87E-55;CD4T;Lung
228;PMAIP1;1.19E-57;0.905713446;0.393;0.213;2.72E-53;CD4T;Lung
229;FTL;1.41E-57;-0.45250005;0.951;0.972;3.22E-53;CD4T;Lung
230;MT.CYB;8.58E-56;-0.378941098;0.963;0.983;1.96E-51;CD4T;Lung
231;SCGB1A1;2.26E-55;-0.578686043;0.331;0.463;5.18E-51;CD4T;Lung
232;XIST;7.90E-55;0.523151775;0.365;0.181;1.81E-50;CD4T;Lung
233;TGFB1;4.30E-54;0.469734106;0.217;0.072;9.85E-50;CD4T;Lung
234;ZFAND2A;4.21E-53;0.621221955;0.451;0.257;9.65E-49;CD4T;Lung
235;ICA1;1.34E-52;0.682311726;0.134;0.026;3.06E-48;CD4T;Lung
236;CCR7;3.70E-52;0.969074543;0.39;0.235;8.48E-48;CD4T;Lung
237;MYLIP;3.79E-51;0.65392364;0.524;0.344;8.68E-47;CD4T;Lung
238;CST3;9.47E-51;-0.592012035;0.15;0.246;2.17E-46;CD4T;Lung
239;LRRFIP1;1.23E-50;-0.553170891;0.455;0.585;2.81E-46;CD4T;Lung
240;MT1X;2.75E-50;-1.205649446;0.21;0.283;6.30E-46;CD4T;Lung
241;FAM177A1;3.12E-50;0.687047622;0.604;0.456;7.15E-46;CD4T;Lung
242;FCER1G;1.18E-49;-0.568356342;0.095;0.186;2.71E-45;CD4T;Lung
243;GZMH;1.44E-49;-0.803856088;0.087;0.21;3.29E-45;CD4T;Lung
244;AHNAK;1.96E-49;-0.571955236;0.29;0.42;4.49E-45;CD4T;Lung
245;SRGN;1.02E-48;0.402229666;0.963;0.929;2.35E-44;CD4T;Lung
246;ANKRD37;1.32E-48;0.626246933;0.385;0.209;3.02E-44;CD4T;Lung
247;CD83;3.14E-47;0.758863708;0.291;0.138;7.19E-43;CD4T;Lung
248;JUNB;3.96E-47;0.541301603;0.894;0.845;9.06E-43;CD4T;Lung
249;ZNF331;1.17E-46;0.582093808;0.648;0.481;2.69E-42;CD4T;Lung
250;TXN;1.39E-46;-0.537279062;0.412;0.538;3.19E-42;CD4T;Lung
251;STIP1;4.04E-46;0.372671799;0.362;0.196;9.26E-42;CD4T;Lung
252;TNFRSF18;1.23E-45;0.88333402;0.315;0.162;2.82E-41;CD4T;Lung
253;IL7R;3.18E-45;0.479532072;0.863;0.782;7.28E-41;CD4T;Lung
254;ADGRE5;6.19E-45;-0.561602963;0.4;0.512;1.42E-40;CD4T;Lung
255;MRPL18;8.00E-45;0.263935485;0.538;0.362;1.83E-40;CD4T;Lung
256;FOSB;1.06E-43;0.656556251;0.495;0.325;2.44E-39;CD4T;Lung
257;MRPL1;1.64E-43;0.637918183;0.351;0.19;3.75E-39;CD4T;Lung
258;GK;4.44E-43;0.906377828;0.175;0.064;1.02E-38;CD4T;Lung
259;SOD1;5.74E-43;0.408374558;0.84;0.746;1.31E-38;CD4T;Lung
260;AES;6.93E-43;-0.469383963;0.303;0.415;1.59E-38;CD4T;Lung
261;H3F3B;2.17E-42;0.323496191;0.967;0.957;4.97E-38;CD4T;Lung
262;DNAJB6;2.29E-42;0.353127203;0.71;0.539;5.24E-38;CD4T;Lung
263;BAG3;3.93E-41;0.284188676;0.371;0.224;9.00E-37;CD4T;Lung
264;PRMT9;4.07E-41;0.56719345;0.327;0.177;9.32E-37;CD4T;Lung
265;JUND;4.61E-41;0.431608394;0.539;0.364;1.06E-36;CD4T;Lung
266;CCL18;1.53E-40;-0.395607014;0.039;0.111;3.50E-36;CD4T;Lung
267;SCAND1;2.33E-40;0.40808158;0.249;0.113;5.34E-36;CD4T;Lung
268;PPP1R2;4.15E-40;0.537092643;0.714;0.579;9.50E-36;CD4T;Lung
269;MT1E;1.99E-39;-0.95658885;0.063;0.143;4.55E-35;CD4T;Lung
270;ICOS;2.08E-39;0.653059051;0.359;0.208;4.77E-35;CD4T;Lung
271;CREM;3.25E-39;0.452403869;0.781;0.644;7.43E-35;CD4T;Lung
272;EIF5;7.27E-39;0.331764859;0.792;0.663;1.67E-34;CD4T;Lung
273;CTLA4;1.58E-38;0.720302544;0.218;0.093;3.61E-34;CD4T;Lung
274;BCAS2;1.96E-38;0.566630813;0.462;0.307;4.48E-34;CD4T;Lung
275;GEM;2.14E-38;0.558840424;0.107;0.023;4.91E-34;CD4T;Lung
276;POLR2J3;3.26E-38;-0.487037254;0.307;0.431;7.45E-34;CD4T;Lung
277;DUSP4;2.81E-37;0.840618803;0.487;0.352;6.44E-33;CD4T;Lung
278;SH3BGRL3;7.79E-37;-0.35102387;0.801;0.872;1.78E-32;CD4T;Lung
279;TNFRSF9;1.73E-36;0.699329264;0.129;0.037;3.97E-32;CD4T;Lung
280;PCSK7;8.32E-36;-0.481179025;0.222;0.348;1.90E-31;CD4T;Lung
281;TAGLN2;1.26E-35;-0.429521946;0.552;0.631;2.88E-31;CD4T;Lung
282;LINC00969;1.84E-35;-0.433996597;0.1;0.208;4.22E-31;CD4T;Lung
283;MAGEH1;3.06E-35;0.6992366;0.129;0.05;7.00E-31;CD4T;Lung
284;GRN;4.39E-35;-0.495108369;0.088;0.165;1.01E-30;CD4T;Lung
285;CHMP1B;5.41E-35;0.602060706;0.415;0.277;1.24E-30;CD4T;Lung
286;CSTB;5.64E-34;-0.430124993;0.384;0.496;1.29E-29;CD4T;Lung
287;GLA;8.58E-34;0.465758738;0.176;0.07;1.96E-29;CD4T;Lung
288;HOPX;9.21E-34;-0.495437482;0.161;0.278;2.11E-29;CD4T;Lung
289;SIRPG;9.58E-34;0.41199471;0.131;0.043;2.19E-29;CD4T;Lung
290;MGST3;4.19E-33;-0.414490079;0.202;0.325;9.60E-29;CD4T;Lung
291;CD27;5.08E-33;0.665243127;0.283;0.182;1.16E-28;CD4T;Lung
292;RBM3;8.85E-33;-0.368767388;0.443;0.533;2.03E-28;CD4T;Lung
293;HSPA4;1.13E-32;0.278651882;0.316;0.186;2.58E-28;CD4T;Lung
294;LYZ;1.27E-32;-0.421341176;0.177;0.208;2.91E-28;CD4T;Lung
295;BIN2;3.16E-32;-0.388960399;0.263;0.34;7.24E-28;CD4T;Lung
296;SMAP2;3.65E-32;0.402073214;0.547;0.393;8.37E-28;CD4T;Lung
297;TCP1;1.87E-31;0.268858706;0.523;0.371;4.28E-27;CD4T;Lung
298;GAPDH;1.40E-30;0.428697032;0.911;0.883;3.20E-26;CD4T;Lung
299;DNPH1;2.03E-30;0.443596942;0.207;0.099;4.64E-26;CD4T;Lung
300;TBC1D4;2.28E-30;0.524905974;0.198;0.095;5.22E-26;CD4T;Lung
301;RPL22L1;2.83E-30;0.408186821;0.47;0.324;6.48E-26;CD4T;Lung
302;DPP4;5.72E-30;-0.342058384;0.079;0.153;1.31E-25;CD4T;Lung
303;MRPL23;6.25E-30;0.290910272;0.147;0.056;1.43E-25;CD4T;Lung
304;MYO1F;8.11E-30;-0.395406334;0.103;0.208;1.86E-25;CD4T;Lung
305;KLRB1;9.97E-30;0.445268356;0.447;0.301;2.28E-25;CD4T;Lung
306;P2RY10;1.05E-29;0.472647685;0.306;0.181;2.41E-25;CD4T;Lung
307;NAF1;1.15E-29;0.353686646;0.149;0.057;2.64E-25;CD4T;Lung
308;JMY;1.47E-29;0.340991852;0.204;0.097;3.37E-25;CD4T;Lung
309;RELB;1.69E-29;0.26133123;0.236;0.126;3.87E-25;CD4T;Lung
310;EIF3J;3.22E-29;0.376566495;0.355;0.219;7.36E-25;CD4T;Lung
311;PPIB;3.51E-29;-0.370479412;0.435;0.534;8.03E-25;CD4T;Lung
312;KDM6B;6.50E-29;0.334921981;0.353;0.218;1.49E-24;CD4T;Lung
313;S100A9;7.21E-29;-0.899447665;0.064;0.138;1.65E-24;CD4T;Lung
314;TXNIP;8.26E-29;-0.339985065;0.827;0.9;1.89E-24;CD4T;Lung
315;ALOX5AP;9.93E-29;-0.431159149;0.503;0.588;2.27E-24;CD4T;Lung
316;CD63;2.26E-28;-0.422078152;0.305;0.41;5.18E-24;CD4T;Lung
317;TNFAIP3;2.87E-28;0.417065459;0.735;0.634;6.57E-24;CD4T;Lung
318;MIF;5.48E-28;0.378886712;0.411;0.273;1.25E-23;CD4T;Lung
319;PIM3;1.48E-27;0.431567735;0.446;0.309;3.39E-23;CD4T;Lung
320;GPBP1;2.30E-27;0.251478841;0.665;0.525;5.27E-23;CD4T;Lung
321;TOB1;3.01E-27;-0.421317066;0.335;0.406;6.90E-23;CD4T;Lung
322;ITGB1;3.08E-27;-0.377096697;0.374;0.447;7.06E-23;CD4T;Lung
